trip_id,date_time,pickup_location,dropoff_location,trip_duration,trip_distance,fare_amount,payment_method,driver_id,customer_id
trip_126,2023-10-20 23:30:00,Suburbs,Mall,94,42.49,41.96,cash,driver_18,customer_41
trip_127,2023-01-24 01:30:00,Downtown,Mall,68,40.59,55.46,card,driver_89,customer_341
trip_128,2023-11-07 11:10:00,Mall,Suburbs,27,10.11,52.36,cash,driver_11,customer_152
trip_129,2023-10-21 18:06:00,Train Station,University,57,18.13,62.87,cash,driver_6,customer_133
trip_130,2023-07-07 16:00:00,Mall,Airport,98,23.41,81.9,card,driver_97,customer_36
trip_131,2023-11-27 10:56:00,Suburbs,Train Station,82,40.18,95.4,card,driver_24,customer_182
trip_132,2023-12-08 03:39:00,Airport,Mall,97,6.08,78.91,card,driver_11,customer_353
trip_133,2023-09-29 23:12:00,Downtown,Suburbs,74,10.8,93.79,card,driver_82,customer_26
trip_134,2023-11-15 09:35:00,Suburbs,University,18,29.44,50.88,cash,driver_27,customer_411
trip_135,2023-06-09 15:09:00,Mall,Mall,30,10.26,61.71,card,driver_9,customer_274
trip_136,2023-04-25 01:39:00,Airport,Downtown,7,24.59,6.53,card,driver_10,customer_303
trip_137,2023-04-12 13:00:00,Train Station,Downtown,89,31.86,10.33,cash,driver_79,customer_73
trip_138,2023-10-12 08:01:00,Airport,University,113,23.99,70.49,card,driver_43,customer_493
trip_139,2023-08-09 23:02:00,Downtown,Mall,56,2.8,23.41,card,driver_29,customer_433
trip_140,2023-01-14 02:33:00,Mall,Mall,55,45.59,37.09,cash,driver_6,customer_43
trip_141,2023-02-02 20:41:00,University,Airport,16,40.88,19.13,cash,driver_82,customer_158
trip_142,2023-09-24 23:20:00,Train Station,Train Station,39,49.21,98.39,card,driver_71,customer_384
trip_143,2023-10-18 16:59:00,Mall,Downtown,91,39.58,59.54,cash,driver_77,customer_237
trip_144,2023-06-18 11:43:00,Airport,Train Station,34,33.88,51.27,cash,driver_48,customer_199
trip_145,2023-03-12 04:55:00,Train Station,University,114,8.67,85.95,cash,driver_15,customer_369
trip_146,2023-02-23 05:10:00,Downtown,Mall,24,30.93,32.57,cash,driver_70,customer_476
trip_147,2023-08-19 10:35:00,University,Downtown,45,18.31,84.54,card,driver_24,customer_484
trip_148,2023-08-19 00:40:00,Suburbs,Suburbs,52,30.91,37.11,cash,driver_1,customer_321
trip_149,2023-08-02 09:57:00,Suburbs,University,51,43.92,9.54,card,driver_83,customer_192
trip_150,2023-04-25 00:29:00,Downtown,Train Station,96,13.98,91.85,cash,driver_62,customer_246
trip_151,2023-02-25 12:18:00,Train Station,Suburbs,31,3.15,67.78,cash,driver_16,customer_136
trip_152,2023-08-14 03:30:00,Train Station,Train Station,23,22.56,74.86,card,driver_85,customer_359
trip_153,2023-05-10 04:41:00,Suburbs,Mall,119,48.78,6.07,cash,driver_64,customer_354
trip_154,2023-01-27 02:24:00,Downtown,Train Station,47,6.76,82.52,card,driver_42,customer_297
trip_155,2023-05-06 20:56:00,Suburbs,Airport,45,32.45,13.94,card,driver_56,customer_176
trip_156,2023-09-04 23:11:00,Suburbs,Mall,62,29.65,21.75,card,driver_88,customer_219
trip_157,2023-07-07 13:05:00,Airport,Suburbs,60,25.94,73.06,cash,driver_40,customer_404
trip_158,2023-07-20 01:44:00,Train Station,Train Station,120,28.59,95.26,cash,driver_94,customer_459
trip_159,2023-07-20 16:54:00,University,Train Station,52,43.66,50.13,cash,driver_64,customer_308
trip_160,2023-05-25 12:21:00,Suburbs,Suburbs,60,32.66,99.34,cash,driver_65,customer_257
trip_161,2023-10-17 23:46:00,Train Station,Suburbs,67,20.54,47.99,cash,driver_32,customer_463
trip_162,2023-07-29 04:17:00,Downtown,Suburbs,94,16.53,13.21,card,driver_11,customer_452
trip_163,2023-07-22 06:07:00,Suburbs,Airport,15,7.26,87.83,card,driver_92,customer_422
trip_164,2023-08-03 01:04:00,University,Airport,41,7.0,64.71,cash,driver_93,customer_334
trip_165,2023-06-01 19:38:00,Mall,Downtown,86,32.88,47.63,cash,driver_52,customer_158
trip_166,2023-10-15 20:54:00,Mall,Train Station,113,6.44,21.49,card,driver_46,customer_128
trip_167,2023-08-09 02:23:00,Mall,Airport,39,27.86,15.24,cash,driver_95,customer_274
trip_168,2023-03-07 15:27:00,University,Suburbs,11,24.2,64.64,card,driver_65,customer_284
trip_169,2023-04-15 20:17:00,Suburbs,Airport,108,26.51,9.43,card,driver_42,customer_285
trip_170,2023-09-18 14:44:00,Mall,Downtown,13,45.45,61.75,cash,driver_3,customer_379
trip_171,2023-08-25 12:47:00,University,Train Station,26,36.34,61.91,card,driver_49,customer_194
trip_172,2023-09-30 15:10:00,Train Station,Mall,19,47.13,34.82,card,driver_55,customer_271
trip_173,2023-11-24 01:34:00,Airport,Suburbs,31,16.05,90.52,cash,driver_56,customer_141
trip_174,2023-05-19 14:24:00,Airport,University,108,15.63,5.67,card,driver_49,customer_218
trip_175,2023-04-25 10:53:00,Airport,Airport,96,22.78,86.6,card,driver_93,customer_30
trip_176,2023-06-25 12:01:00,Mall,Mall,114,19.75,39.16,cash,driver_91,customer_215
trip_177,2023-09-23 19:45:00,University,Downtown,13,2.5,50.51,card,driver_44,customer_220
trip_178,2023-06-03 23:12:00,University,Suburbs,83,6.17,38.76,cash,driver_83,customer_243
trip_179,2023-08-21 07:39:00,Downtown,Suburbs,40,21.42,73.6,card,driver_17,customer_243
trip_180,2023-05-17 21:54:00,Train Station,Mall,98,23.81,94.15,cash,driver_16,customer_397
trip_181,2023-10-18 07:40:00,Suburbs,Mall,66,13.3,66.64,card,driver_67,customer_188
trip_182,2023-07-22 14:54:00,Downtown,Mall,53,33.55,76.77,card,driver_100,customer_376
trip_183,2023-02-06 20:53:00,Airport,Downtown,90,48.42,9.78,cash,driver_14,customer_421
trip_184,2023-10-16 08:54:00,Suburbs,Suburbs,10,39.21,67.99,card,driver_66,customer_317
trip_185,2023-05-26 17:49:00,Train Station,Mall,84,17.78,32.45,cash,driver_83,customer_408
trip_186,2023-01-29 07:57:00,Airport,Train Station,97,24.85,26.82,card,driver_21,customer_357
trip_187,2023-11-22 13:35:00,Airport,Downtown,27,4.24,77.28,card,driver_77,customer_47
trip_188,2023-02-05 18:00:00,Suburbs,Downtown,27,29.02,59.97,card,driver_33,customer_156
trip_189,2023-09-04 19:05:00,Downtown,Train Station,80,44.16,43.89,card,driver_70,customer_208
trip_190,2023-02-15 16:37:00,Airport,Suburbs,115,11.9,73.66,card,driver_67,customer_374
trip_191,2023-05-27 16:13:00,Suburbs,Train Station,29,32.56,66.02,cash,driver_46,customer_462
trip_192,2023-08-04 09:13:00,Train Station,Downtown,105,23.93,52.61,cash,driver_55,customer_182
trip_193,2023-06-01 20:01:00,Mall,Mall,44,25.66,17.46,cash,driver_10,customer_266
trip_194,2023-07-18 06:28:00,Suburbs,University,10,18.19,45.48,card,driver_98,customer_407
trip_195,2023-06-14 18:47:00,Train Station,Suburbs,13,36.6,47.57,card,driver_25,customer_159
trip_196,2023-07-12 19:16:00,University,Train Station,21,37.57,81.76,cash,driver_10,customer_155
trip_197,2023-05-06 11:36:00,University,Train Station,63,44.12,74.0,card,driver_63,customer_122
trip_198,2023-06-09 22:18:00,Train Station,Train Station,119,39.71,40.83,card,driver_9,customer_421
trip_199,2023-10-01 20:00:00,University,Mall,57,15.22,30.67,cash,driver_50,customer_168
trip_200,2023-04-10 00:32:00,Airport,Airport,14,3.44,74.25,cash,driver_20,customer_135
trip_201,2023-01-01 11:57:00,Suburbs,University,66,15.97,56.94,cash,driver_86,customer_392
trip_202,2023-09-12 07:08:00,Airport,Mall,88,2.78,43.47,card,driver_11,customer_395
trip_203,2023-05-26 21:39:00,Downtown,University,43,14.62,39.99,cash,driver_18,customer_58
trip_204,2023-06-21 19:13:00,Suburbs,Suburbs,108,16.22,9.23,card,driver_26,customer_75
trip_205,2023-09-25 02:32:00,Suburbs,University,109,23.78,73.53,cash,driver_78,customer_346
trip_206,2023-11-16 07:39:00,Train Station,Mall,97,26.48,21.41,cash,driver_82,customer_230
trip_207,2023-12-10 10:47:00,University,Airport,65,43.53,53.21,card,driver_77,customer_259
trip_208,2023-11-06 12:10:00,Suburbs,Suburbs,36,5.74,88.3,cash,driver_50,customer_372
trip_209,2023-02-16 22:50:00,Train Station,Suburbs,85,32.16,81.68,card,driver_40,customer_222
trip_210,2023-05-03 21:20:00,Train Station,Train Station,93,18.07,79.88,card,driver_21,customer_426
trip_211,2023-10-09 20:27:00,Mall,University,53,19.82,84.47,cash,driver_30,customer_354
trip_212,2023-12-15 23:29:00,University,University,24,2.01,18.52,cash,driver_12,customer_288
trip_213,2023-06-20 06:51:00,Suburbs,Downtown,49,44.53,19.39,cash,driver_97,customer_45
trip_214,2023-10-04 22:44:00,Suburbs,University,7,46.42,92.34,cash,driver_66,customer_123
trip_215,2023-06-15 00:38:00,Suburbs,University,70,16.22,57.76,card,driver_72,customer_38
trip_216,2023-05-01 23:07:00,Suburbs,Downtown,113,42.33,10.94,cash,driver_72,customer_312
trip_217,2023-03-19 08:15:00,Suburbs,Airport,118,29.15,6.44,cash,driver_70,customer_366
trip_218,2023-07-26 00:19:00,Downtown,Train Station,5,32.23,94.71,cash,driver_46,customer_151
trip_219,2023-05-03 08:55:00,Suburbs,Mall,58,43.4,43.75,cash,driver_53,customer_470
trip_220,2023-02-15 04:36:00,University,Airport,28,14.55,27.3,cash,driver_98,customer_405
trip_221,2023-03-31 05:29:00,Airport,Mall,103,24.0,65.42,card,driver_87,customer_252
trip_222,2023-01-16 11:33:00,Suburbs,Train Station,83,33.68,20.76,card,driver_34,customer_415
trip_223,2023-08-30 18:28:00,Suburbs,Suburbs,65,31.12,10.02,cash,driver_30,customer_260
trip_224,2023-05-15 03:52:00,Airport,University,53,45.55,30.68,cash,driver_26,customer_487
trip_225,2023-02-09 18:14:00,Suburbs,Downtown,62,13.95,61.04,card,driver_15,customer_332
trip_226,2023-08-10 04:09:00,Train Station,University,21,12.66,80.71,card,driver_75,customer_207
trip_227,2023-03-30 00:49:00,Suburbs,Suburbs,24,26.65,69.81,card,driver_84,customer_395
trip_228,2023-01-21 12:13:00,Downtown,Train Station,95,45.97,21.62,card,driver_44,customer_267
trip_229,2023-10-02 12:46:00,Suburbs,University,97,21.29,64.15,cash,driver_19,customer_407
trip_230,2023-04-04 23:12:00,Mall,Suburbs,40,39.42,92.73,cash,driver_95,customer_31
trip_231,2023-02-28 09:23:00,University,University,113,22.07,25.91,cash,driver_71,customer_409
trip_232,2023-04-19 21:56:00,Downtown,Suburbs,26,23.53,45.53,cash,driver_18,customer_130
trip_233,2023-02-24 09:37:00,Mall,Downtown,90,22.81,40.5,card,driver_68,customer_139
trip_234,2023-05-21 06:29:00,University,Suburbs,85,41.58,44.34,card,driver_59,customer_140
trip_235,2023-11-19 13:35:00,Suburbs,Train Station,84,23.09,39.24,card,driver_53,customer_479
trip_236,2023-01-03 09:50:00,University,Airport,61,44.44,40.45,card,driver_62,customer_452
trip_237,2023-08-16 07:52:00,Downtown,Suburbs,95,19.57,73.47,cash,driver_45,customer_172
trip_238,2023-10-11 16:21:00,Airport,Airport,110,47.59,60.87,cash,driver_17,customer_328
trip_239,2023-06-07 06:57:00,Suburbs,University,82,21.26,40.49,card,driver_97,customer_370
trip_240,2023-07-05 11:52:00,Mall,Mall,7,16.45,28.21,cash,driver_59,customer_456
trip_241,2023-04-02 01:10:00,Suburbs,Downtown,6,28.27,77.68,cash,driver_52,customer_6
trip_242,2023-11-29 17:45:00,Suburbs,Airport,86,24.78,93.64,card,driver_69,customer_374
trip_243,2023-07-13 13:22:00,University,Downtown,53,30.47,52.97,card,driver_47,customer_422
trip_244,2023-02-09 06:02:00,University,Mall,53,21.99,10.38,card,driver_75,customer_154
trip_245,2023-01-22 11:22:00,Train Station,Downtown,116,13.88,36.95,card,driver_12,customer_135
trip_246,2023-03-13 01:18:00,Suburbs,Train Station,40,35.49,72.31,card,driver_23,customer_292
trip_247,2023-04-19 22:13:00,Airport,Downtown,10,21.58,83.74,card,driver_83,customer_357
trip_248,2023-05-09 19:12:00,Suburbs,Downtown,106,24.96,93.06,cash,driver_93,customer_381
trip_249,2023-06-22 21:00:00,Mall,Mall,89,45.07,61.03,card,driver_43,customer_100
trip_250,2023-08-24 12:08:00,Suburbs,Mall,114,22.76,81.21,card,driver_96,customer_172
trip_251,2023-04-18 14:22:00,Mall,Mall,82,38.21,40.76,card,driver_69,customer_307
trip_252,2023-11-26 10:41:00,University,Suburbs,21,27.23,94.59,card,driver_16,customer_417
trip_253,2023-06-03 18:53:00,Suburbs,Downtown,57,45.72,83.87,cash,driver_68,customer_168
trip_254,2023-12-29 00:17:00,Suburbs,Suburbs,39,39.41,71.38,cash,driver_12,customer_327
trip_255,2023-02-05 21:57:00,University,Suburbs,103,15.18,67.39,card,driver_4,customer_283
trip_256,2023-02-05 09:52:00,Airport,Train Station,60,16.11,47.16,cash,driver_48,customer_117
trip_257,2023-11-28 10:13:00,Suburbs,University,107,11.28,9.68,card,driver_28,customer_276
trip_258,2023-05-14 17:38:00,Airport,Suburbs,91,1.55,57.82,card,driver_5,customer_420
trip_259,2023-04-15 22:45:00,Train Station,Mall,95,14.87,47.59,card,driver_50,customer_382
trip_260,2023-12-10 17:59:00,University,Mall,106,4.54,56.26,card,driver_32,customer_163
trip_261,2023-10-15 14:26:00,Downtown,Airport,18,4.46,6.99,cash,driver_10,customer_361
trip_262,2023-07-03 02:41:00,Suburbs,University,66,30.57,81.53,card,driver_35,customer_447
trip_263,2023-08-30 11:08:00,Mall,Train Station,44,7.77,76.36,cash,driver_23,customer_477
trip_264,2023-06-01 06:52:00,Downtown,Mall,101,41.79,11.85,card,driver_72,customer_134
trip_265,2023-09-22 15:17:00,Mall,Mall,5,30.66,22.42,cash,driver_70,customer_257
trip_266,2023-08-04 23:25:00,Downtown,Mall,66,19.74,91.25,cash,driver_63,customer_361
trip_267,2023-07-10 16:50:00,Suburbs,Downtown,84,5.98,30.29,card,driver_52,customer_53
trip_268,2023-11-04 08:36:00,Train Station,Downtown,53,11.96,70.21,cash,driver_61,customer_296
trip_269,2023-10-05 02:43:00,Train Station,Mall,64,5.39,21.12,card,driver_15,customer_489
trip_270,2023-07-04 03:05:00,Mall,Mall,45,28.55,52.98,cash,driver_38,customer_181
trip_271,2023-09-02 03:54:00,Airport,Mall,100,9.83,89.03,card,driver_54,customer_180
trip_272,2023-01-31 16:37:00,Downtown,Downtown,40,4.3,40.81,card,driver_45,customer_487
trip_273,2023-02-25 05:07:00,Mall,Mall,48,33.3,43.02,card,driver_94,customer_238
trip_274,2023-09-30 22:24:00,University,Downtown,86,31.08,90.99,card,driver_49,customer_399
trip_275,2023-03-02 15:26:00,Train Station,Mall,83,38.93,6.7,cash,driver_87,customer_207
trip_276,2023-05-20 01:14:00,Airport,Suburbs,95,4.62,28.97,card,driver_16,customer_15
trip_277,2023-01-25 17:39:00,Mall,Train Station,104,27.41,32.53,cash,driver_94,customer_373
trip_278,2023-03-09 12:27:00,Train Station,Airport,37,42.2,58.9,cash,driver_91,customer_132
trip_279,2023-01-18 13:59:00,Mall,Train Station,111,14.03,88.47,cash,driver_41,customer_446
trip_280,2023-07-31 01:09:00,Airport,Train Station,83,10.73,95.07,cash,driver_32,customer_68
